N;date;1;2;3;4;5;6
2364;02.12.2023;14;15;16;23;46;51
2363;29.11.2023;1;26;33;37;45;46
2362;25.11.2023;11;18;24;37;46;52
2361;22.11.2023;13;14;18;39;45;52
2360;18.11.2023;2;4;12;15;50;52
2359;15.11.2023;9;15;31;34;43;49
2358;11.11.2023;9;13;15;20;23;24
2357;08.11.2023;9;18;26;29;39;44
2356;04.11.2023;2;10;30;40;48;52
2355;01.11.2023;2;6;7;8;35;49
2354;28.10.2023;13;17;19;24;27;48
2353;25.10.2023;6;10;28;37;43;49
2352;21.10.2023;29;32;38;46;48;50
2351;18.10.2023;5;8;14;16;20;33
2350;14.10.2023;12;16;20;26;40;50
2349;11.10.2023;14;15;26;29;30;32
2348;07.10.2023;8;9;17;33;44;52
2347;04.10.2023;8;22;31;35;41;52
2346;30.09.2023;2;3;13;25;39;44
2345;27.09.2023;9;12;25;43;47;48
2344;23.09.2023;1;4;22;34;36;38
2343;20.09.2023;1;14;16;44;50;51
2342;16.09.2023;12;23;24;25;31;38
2341;13.09.2023;2;18;25;34;37;44
2340;09.09.2023;8;9;16;44;45;49
2339;06.09.2023;8;14;16;26;28;30
2338;02.09.2023;4;19;29;39;45;49
2337;30.08.2023;1;5;18;32;38;40
2336;26.08.2023;21;22;31;37;45;51
2335;23.08.2023;7;16;20;32;37;42
2334;19.08.2023;5;6;11;17;35;50
2333;16.08.2023;2;17;23;27;34;52
2332;12.08.2023;6;9;14;20;39;46
2331;09.08.2023;1;5;17;21;33;50
2330;05.08.2023;23;24;36;44;47;48
2329;02.08.2023;12;30;32;41;43;52
2328;29.07.2023;6;9;11;13;32;38
2327;26.07.2023;21;23;36;41;45;51
2326;22.07.2023;1;7;9;10;14;34
2325;19.07.2023;24;40;45;46;47;49
2324;15.07.2023;1;2;10;26;35;43
2323;12.07.2023;13;20;24;41;49;52
2322;08.07.2023;11;17;22;29;39;47
2321;05.07.2023;4;12;17;33;49;51
2320;01.07.2023;2;5;16;17;21;23
2319;28.06.2023;10;14;30;41;48;49
2318;24.06.2023;22;26;40;43;45;49
2317;21.06.2023;2;7;15;45;47;48
2316;17.06.2023;2;4;7;9;27;34
2315;14.06.2023;14;16;25;33;48;49
2314;10.06.2023;2;15;19;26;30;33
2313;07.06.2023;3;17;18;35;38;42
2312;03.06.2023;7;20;26;44;46;51
2311;31.05.2023;2;8;22;37;46;50
2310;27.05.2023;1;7;26;36;39;52
2309;24.05.2023;3;22;23;24;26;27
2308;20.05.2023;13;15;21;36;42;44
2307;17.05.2023;25;26;28;29;31;46
2306;13.05.2023;1;13;19;30;40;47
2305;10.05.2023;2;13;18;30;33;34
2304;06.05.2023;4;12;18;26;28;40
2303;03.05.2023;6;8;36;38;46;50
2302;29.04.2023;15;16;28;37;38;52
2301;26.04.2023;2;12;32;38;42;50
2300;22.04.2023;7;12;19;22;42;47
2299;19.04.2023;3;5;13;15;16;27
2298;15.04.2023;6;8;10;19;36;41
2297;12.04.2023;2;10;12;29;40;51
2296;08.04.2023;9;15;16;34;41;49
2295;05.04.2023;6;10;13;14;35;37
2294;01.04.2023;8;13;20;25;30;31
2293;29.03.2023;9;14;15;27;32;44
2292;25.03.2023;5;6;15;25;26;43
2291;22.03.2023;4;8;37;38;43;47
2290;18.03.2023;21;24;26;40;48;50
2289;15.03.2023;6;10;11;25;40;50
2288;11.03.2023;13;16;28;36;42;46
2287;08.03.2023;11;17;18;29;46;48
2286;04.03.2023;13;15;19;20;23;47
2285;01.03.2023;5;6;23;28;35;39
2284;25.02.2023;4;9;30;32;41;46
2283;22.02.2023;20;26;27;40;41;49
2282;18.02.2023;23;25;30;35;38;46
2281;15.02.2023;9;11;21;23;33;35
2280;11.02.2023;13;25;28;29;38;39
2279;08.02.2023;9;11;12;16;33;45
2278;04.02.2023;7;15;36;41;50;51
2277;01.02.2023;1;8;31;39;47;49
2276;28.01.2023;9;10;12;16;42;51
2275;25.01.2023;1;21;27;40;48;49
2274;21.01.2023;4;11;19;20;35;46
2273;18.01.2023;1;8;28;32;40;47
2272;14.01.2023;21;27;35;43;46;49
2271;11.01.2023;6;28;33;35;42;49
2270;07.01.2023;15;21;27;28;35;46
2269;04.01.2023;3;31;38;42;43;49
